"StateFIPS","State","CountyFIPS","County","Year","Value","Data Comment",
"36","New York","36001","Albany","2005","1,999","",
"36","New York","36001","Albany","2006","1,887","",
"36","New York","36001","Albany","2007","2,019","",
"36","New York","36001","Albany","2008","2,032","",
"36","New York","36001","Albany","2009","1,970","",
"36","New York","36001","Albany","2010","1,961","",
"36","New York","36001","Albany","2011","1,958","",
"36","New York","36001","Albany","2012","2,139","",
"36","New York","36001","Albany","2013","2,021","",
"36","New York","36001","Albany","2014","1,984","",
"36","New York","36001","Albany","2015","2,162","",
"36","New York","36003","Allegany","2005","1,997","",
"36","New York","36003","Allegany","2006","1,951","",
"36","New York","36003","Allegany","2007","2,045","",
"36","New York","36003","Allegany","2008","2,032","",
"36","New York","36003","Allegany","2009","2,039","",
"36","New York","36003","Allegany","2010","2,096","",
"36","New York","36003","Allegany","2011","2,010","",
"36","New York","36003","Allegany","2012","2,090","",
"36","New York","36003","Allegany","2013","2,082","",
"36","New York","36003","Allegany","2014","2,027","",
"36","New York","36003","Allegany","2015","2,139","",
"36","New York","36005","Bronx","2005","2,108","",
"36","New York","36005","Bronx","2006","2,075","",
"36","New York","36005","Bronx","2007","2,184","",
"36","New York","36005","Bronx","2008","2,175","",
"36","New York","36005","Bronx","2009","2,084","",
"36","New York","36005","Bronx","2010","2,250","",
"36","New York","36005","Bronx","2011","2,143","",
"36","New York","36005","Bronx","2012","2,200","",
"36","New York","36005","Bronx","2013","2,141","",
"36","New York","36005","Bronx","2014","2,146","",
"36","New York","36005","Bronx","2015","2,282","",
"36","New York","36007","Broome","2005","1,986","",
"36","New York","36007","Broome","2006","1,926","",
"36","New York","36007","Broome","2007","2,048","",
"36","New York","36007","Broome","2008","2,043","",
"36","New York","36007","Broome","2009","2,002","",
"36","New York","36007","Broome","2010","2,098","",
"36","New York","36007","Broome","2011","1,935","",
"36","New York","36007","Broome","2012","2,135","",
"36","New York","36007","Broome","2013","2,073","",
"36","New York","36007","Broome","2014","1,997","",
"36","New York","36007","Broome","2015","2,107","",
"36","New York","36009","Cattaraugus","2005","2,026","",
"36","New York","36009","Cattaraugus","2006","1,941","",
"36","New York","36009","Cattaraugus","2007","2,046","",
"36","New York","36009","Cattaraugus","2008","2,010","",
"36","New York","36009","Cattaraugus","2009","2,004","",
"36","New York","36009","Cattaraugus","2010","2,111","",
"36","New York","36009","Cattaraugus","2011","2,038","",
"36","New York","36009","Cattaraugus","2012","2,104","",
"36","New York","36009","Cattaraugus","2013","2,059","",
"36","New York","36009","Cattaraugus","2014","2,028","",
"36","New York","36009","Cattaraugus","2015","2,141","",
"36","New York","36011","Cayuga","2005","1,946","",
